English,Original,Seq2Seq,Attention
ekdaala,একডালা,একদালা,একডালা
neture,নেচার,নেট্রু,নেচার
zogina,যোগিনা,জোগিনা,যোগিনা
konistha,কনিষ্ঠা,কনিস্থা,কনিষ্ঠা
ssutkee,শুঁটকি,সুতটিকে,শুঁটকি
notpyaad,নোটপ্যাড,নপট্যাড,নোটপ্যাড
espinoza,এস্পিনোজা,এসপিনোজা,এস্পিনোজা
zooni,যোনী,জুনি,যোনী
otro,অত্র,ওট্রো,অত্র
bender,বেনদের,বেন্ডের,বেনদের
sachakita,সচকিত,সচাকিতা,সচকিত
ojante,অজান্তে,ওজন্তে,অজান্তে
sooreser,সুরেশের,সুরেসের,সুরেশের
prastutkarakra,প্রস্তুতকারকরা,প্রস্তুতকরকরা,প্রস্তুতকারকরা
kaamottejakatattw,কামোত্তেজকতত্ত্ব,কামত্যেজকাতত্ত্ব,কামোত্তেজকতত্ত্ব
infraconstruction,ইনফ্রাকন্সট্রাশন,ইনফ্রাক্রস্্্ক্নিয়ান,ইনফ্রাকন্সট্রাশন
aishalyandika,আইসল্যান্ডিক,ঐশীল্যদি্কা,আইসল্যান্ডিক
jayagaan,জয়গান,জয়াগান,জয়গান
colleaguedero,কলিগদেরও,কলিগাজেরও,কলিগদেরও
shocieti,সোসাইটি,শোসিটি,সোসাইটি
aisalyandika,আইসল্যান্ডিক,আশৈল্যান্ডিকা,আইসল্যান্ডিক
ekkosi,এককোষী,এককসি,এককোষী
msi,এমএসআই,এমএসএি,এমএসআই
mantragulote,মন্ত্রগুলোতে,মান্ত্রগুলোতে,মন্ত্রগুলোতে
basing,ওয়াশিং,বাসিং,ওয়াশিং
laan,লোন,লান,লোন
prostutkarakder,প্রস্তুতকারকদের,প্রস্তুতকরককের,প্রস্তুতকারকদের
mausumi,মৌসুমি,মৌসুমী,মৌসুমি
cathode,ক্যাথোড,ক্যাথোডেড,ক্যাথোড
chuqri,কুকরী,চুক্রি,কুকরী
nadirr,নদীর,নাদরির,নদীর
bosantapur,বসন্তপুর,বোসন্তপুর,বসন্তপুর
nabaabago,নবাবগো,নাবাবাগো,নবাবগো
bolteyi,বলতেই,বলটেই,বলতেই
prostutkaroker,প্রস্তুতকারকের,প্রস্তুতকারের,প্রস্তুতকারকের
saphalyao,সাফল্যও,সাফল্যাও,সাফল্যও
