English Word,Original Bengali Word,Predicted Bengali Word
saphallya,সাফল্য,সফল্ল্য
kaarentabaahee,কারেন্টবাহী,কারেন্তাবাহী
mashterpiece,মাস্টারপিস,ম্যাট্রেপ্রিসে
cheeken,চিকেন,চিকেন
ekdaala,একডালা,একদলা
neerbachokra,নির্বাচকরা,নির্বাচকরা
neture,নেচার,নেটুরে
michilkey,মিছিলকে,মিছিলকে
chitfund,চিটফান্ড,চিটফুন্ড
panchanan,পঞ্চানন,পঞ্চনন
manna,মন্ন,মান্না
portillo,পর্টিল্লো,পর্তিল্লো
quess,কুয়েস,কেউস
budh,বুধ,বুধ
siel,সিএল,সিলেল
zogina,যোগিনা,জগিনা
hdfc,এইচডিএফসী,এহডিএফসি
konistha,কনিষ্ঠা,কনিষ্ঠা
godfrey,গডফ্রে,গডফ্রে
mardok,মারডক,মারদক
shasanbhar,শাসনভার,শাসনভার
cathedral,কাথেড্রাল,ক্যাথেড্রাল
daanga,দাঙ্গা,ডাঙ্গা
tamasha,তামাশা,তমাসা
bichchhedabiheen,বিচ্ছেদবিহীন,বিচ্ছেদাবিহীন
adolbadol,অদলবদল,আদলবালল
shlokey,শ্লোকে,শ্লোকে
shoodhai,শুধাই,শুধাই
dokangulo,দোকানগুলো,দোকানগুলো
sharee,শারি,শার
ssutkee,শুঁটকি,সুতকে
kunj,কুঁজ,কুঞ্জ
zointa,জৈন্তা,জয়ন্টা
birshreshtha,বীরশ্রেষ্ঠ,বীর্ষেষ্ঠা
notpyaad,নোটপ্যাড,নোটপায়া`````````````
bafufe,বাফুফে,বাফুফে
abash,অবশ,আবাশ
roshan,রোশান,রোষান
poost,পোস্ট,পুস্ট
espinoza,এস্পিনোজা,এস্পিনোজা
zooni,যোনী,জুনি
nisthavan,নিষ্ঠাবান,নিষ্ঠাবন
jogdish,জগদীশ,যোগদিশ
sharkaraar,শর্করার,শর্করার
chobal,ছোবল,চোবাল
otro,অত্র,অট্রো
bender,বেনদের,বেন্দার
bhumadya,ভূমধ্য,ভূমা্য
artilaryer,আর্টিলারির,আর্টিলার্য়ের
habra,হাব্রা,হাবরা
sipping,শিপিং,সিপিং
dodson,ডোদসোন,ডডসন
rewari,রেওয়ারি,রেওয়ারি
maithu,ম্যাথু,মাইথু
prochondbhabe,প্রচণ্ডভাবে,প্রচণ্ডভাবে
sachakita,সচকিত,সচকিতা
pratimagulo,প্রতিমাগুলো,প্রতিমাগুলো
sujhe,সুজ,সুঝে
avizuktaraa,অভিযুক্তরা,অভিযুক্তরা
ojante,অজান্তে,অজান্তে
anticsidant,অ্যান্টিক্সিড্যান্ট,অ্যান্টিসকাডিন্ট
sooreser,সুরেশের,সুরেসের
spanish,স্প্যানিশ,স্পানিশ
bornil,বর্ণীল,বর্নিল
manushke,মানুষকে,মানুষকে
prastutkarakra,প্রস্তুতকারকরা,প্রস্তুতকরকরা
koutukkar,কৌতুককর,কৌতুক্কর
hoolmar,হোমার,হুলমার
dicision,ডিসিশন,ডিসিশন
aporimita,অপরিমিত,অপরিমিত
bishpaan,বিষপান,বিশ্পান
zonal,জোনাল,জোনাল
kaamottejakatattw,কামোত্তেজকতত্ত্ব,কামত্যজেতকাত্ত্ব
